year,country,iso3,crude_birth_rate,crude_death_rate,govt_health_capex_musd,hiv_deaths,hiv_prevalence,immunization_dpt,immunization_measles,infant_mortality,life_expectancy,life_expectancy_female,life_expectancy_male,malaria_cases,maternal_mortality,nurses_midwives_per_1000,pharma_workers_per_1000,physicians_per_1000,tb_prevalence,under5_mortality,undernourished_pct,underweight_children_pct,wb_population,wb_gdp_per_capita,wb_sanitation_pct,wb_agriculture_pct_gdp,log_capex_per_capita,log_gdp_per_capita,sanitation_pct,agriculture_pct_gdp
2011,Myanmar,MMR,17.35,,35.2,,0.8833333333333333,83.5,84.9,27.0,66.80000000000001,68.7,64.9,11.7,,0.901,,0.539,506.0,33.9,18.0,,49419820.0,1213.62898703376,69.3199771322654,32.4961825024034,0.5378169598292286,7.102193948676607,69.3199771322654,32.4961825024034
2012,Myanmar,MMR,17.4,8.5,236.4,,0.8666666666666667,85.0,84.0,26.0,68.05,69.5,66.6,8.1,,0.93,,0.568,489.0,29.6,16.5,,49837446.0,1202.6658960055,69.8075314320921,30.5901997024538,1.7480550679527125,7.093127092347858,69.8075314320921,30.5901997024538
2013,Myanmar,MMR,17.2,8.5,219.4,,0.8500000000000001,90.0,86.0,24.3,68.7,69.9,67.5,6.8,200.0,,,,473.0,,15.5,,50262658.0,1199.09561597055,70.2923141744914,29.5337253604993,1.6799093472990385,7.090156512577269,70.2923141744914,29.5337253604993
2004,Philippines,PHL,24.6,5.1,12.6,,,,80.0,35.0,67.1,70.1,64.1,,,5.774,0.587,1.11,293.0,40.0,18.6,,86394504.0,1099.63013023758,66.311449594431,13.9844036917201,0.13614027076642543,7.003638140443542,66.311449594431,13.9844036917201
2005,Philippines,PHL,25.6,5.1,13.8,,,,80.0,27.0,67.1,70.1,64.1,56.1,144.0,,0.6301428571428571,,162.2,34.0,17.6,,88015962.0,1220.46018559867,66.7468776426565,13.517547003593,0.14564870507406766,7.107802295486814,66.7468776426565,13.517547003593
2006,Philippines,PHL,24.1,5.6,7.1,,,,92.0,25.0,68.85,71.6,66.1,40.7,,,0.6732857142857143,,151.5,32.0,16.4,,89508986.0,1426.14649179546,67.1831301872284,13.3612491069675,0.07633273719096992,7.2634322693876685,67.1831301872284,13.3612491069675
2007,Philippines,PHL,25.8,4.8,31.1,,,87.0,92.0,23.0,68.85,71.6,66.1,41.0,,,0.7164285714285714,,151.6,,15.0,,91075184.0,1712.65543282793,68.2064372279476,13.606507617711,0.29377058598599204,7.4463840479260694,68.2064372279476,13.606507617711
2008,Philippines,PHL,24.7,4.8,34.1,,,87.0,92.0,24.5,68.85,71.6,66.1,26.2,,,0.7595714285714286,,273.1,,13.8,20.7,92699095.0,1959.29233534978,69.2399098229444,14.5160747573134,0.3132451949048231,7.580848891791368,69.2399098229444,14.5160747573134
2009,Philippines,PHL,24.4,4.8,95.8,,,87.0,88.0,23.0,68.85,71.6,66.1,21.6,,,0.8027142857142857,,340.4,,13.0,,94384250.0,1864.45043406471,70.2836819040094,14.5402133153152,0.7006191231003382,7.531257822522494,70.2836819040094,14.5402133153152
2010,Philippines,PHL,25.1,5.8,122.2,,,87.0,88.0,24.5,68.85,71.6,66.1,21.0,129.0,,0.8458571428571429,,316.4,36.0,13.0,,96337125.0,2162.91375885614,71.3424056654417,13.7488650524217,0.8191021500383202,7.679673786517955,71.3424056654417,13.7488650524217
2011,Philippines,PHL,24.85,,187.9,,,81.0,79.0,23.9,70.35,73.1,67.6,9.8,,,0.889,,292.4,25.0,13.4,20.2,98248614.0,2383.91892522087,72.4331957075581,14.0957351510823,1.0690101614502527,7.776920409126562,72.4331957075581,14.0957351510823
2012,Philippines,PHL,24.6,6.0,215.4,,,86.0,85.0,27.0,65.2,,65.2,,,,,,461.0,,13.9,,100175512.0,2614.61644401308,73.5302350229801,13.0958070106782,1.147474226508047,7.869255082566379,73.5302350229801,13.0958070106782
2013,Philippines,PHL,24.4,6.0,265.9,,,98.0,90.0,20.0,68.80000000000001,72.2,65.4,,120.0,,,,,,14.0,19.9,102076336.0,2781.27957677397,74.6335366418639,12.4734251044125,1.2822977062181238,7.931025862320517,74.6335366418639,12.4734251044125
2004,Singapore,SGP,11.4,4.4,,,,,94.0,2.0,79.55,82.0,77.1,,,4.418,0.294,1.484,40.0,3.0,2.5,,4166664.0,27608.080013423,100.0,0.0556489896262466,,10.225899983594802,100.0,0.0556489896262466
2005,Singapore,SGP,10.4,4.4,50.9,,,,96.0,2.1,80.05,82.5,77.6,3.9,13.3,4.486,0.296,1.501,37.2,2.9,2.5,,4265762.0,29961.3172812732,100.0,0.0550481142142599,2.559721678697347,10.30769578047701,100.0,0.0550481142142599
2006,Singapore,SGP,10.1,4.3,107.1,,,,93.0,2.6,80.19999999999999,82.6,77.8,4.1,10.4,4.535,0.308,1.502,35.9,2.9,2.5,,4401365.0,33768.4528234651,100.0,0.0488654244516825,3.232122112891293,10.42731191021207,100.0,0.0488654244516825
2007,Singapore,SGP,10.3,4.5,174.8,,,96.0,95.0,2.1,80.5,82.9,78.1,3.4,7.6,4.719,0.313,1.56,35.0,2.9,2.5,,4588599.0,39432.8860198877,100.0,0.0428679973714474,3.6659796481581197,10.58238077692004,100.0,0.0428679973714474
